host	name	sources	posts_seen	newest_post_date	active	relevant	kept	reason	reached	response	status_note
tangledterroir	tangled_terroir	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
taniadakka	Tania Dakka	erin-subs	12	2026-07-27	y	no	n	active but not relevant (model: no)			
tauric	Tauric & Aeon [AI]	erin-subs,ankairos-subs	12	2026-03-10	n	unsure	n	inactive: newest post 2026-03-10, before 2026-07-01			
tawnyameans	The Collaboration Chronicle: Human+AI in Education	kristina-subs,ankairos-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
taylaburrell	Dangerously Educated by Tayla Burrell	profile:marionnowicki	12	2026-09-22	y	no	n	active but not relevant (model: no)			
tdpublishing	TD Publishing	search:AI consciousness	11	2026-08-24	y	yes	y	active and relevant (model: yes)			
teamsparkai	Spark and Solace	profile:marionnowicki	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
teamvela	Team Véla	erin-subs,search:AI companion	12	2026-09-07	y	yes	y	active and relevant (model: yes)			
technosexual	Becoming Technosexual with Kaamna	erin-subs,kristina-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
tedsan	T.D. Inoue	erin-subs,profile:caelhex,profile:marionnowicki,ankairos-subs	12	2026-08-12	y	yes	y	active and relevant (model: yes)			
tefcommons	TEF Commons	kristina-subs	5	2026-09-21	y	yes	y	active and relevant (model: yes)			
tenderplexed	Tenderplexed on Substack	erin-subs,profile:marionnowicki	12	2026-07-14	y	yes	y	active and relevant (model: yes)			
tenlana	Studying Punctum	erin-subs	7	2026-06-05	n	unsure	n	inactive: newest post 2026-06-05, before 2026-07-01			
teodoracoach	Standout Systems by Teodora	ankairos-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
termsandconditionsapply	Terms & Conditions Apply	search:AI companion	12	2026-06-25	n	unsure	n	inactive: newest post 2026-06-25, before 2026-07-01			
tertiuspoint	tertius_point	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
testbotbecoming	The Becoming	erin-subs,profile:marionnowicki	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
theaborch	Thea	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-09-09	y	yes	y	active and relevant (model: yes)			
theaigrandad	Mike	erin-subs,profile:marionnowicki,ankairos-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
theaileadershipedge	The AI Leadership Edge	ankairos-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
theaimixtape	Sarah | AI Mixtape	erin-subs	9	2026-09-23	y	no	n	active but not relevant (model: no)			
theaipsychologist	The AI Psychologist's Substack	erin-subs,profile:caelhex,profile:marionnowicki,ankairos-subs	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
theaisurvivalclub	The AI Survival Club	erin-subs	3	2026-07-04	y	yes	y	active and relevant (model: yes)			
thealchemistscabin	The Alchemist's Cabin	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
theanthropologistscanvas	The Anthropologist's Canvas	erin-subs,search:relational AI	11	2026-09-20	y	yes	y	active and relevant (model: yes)			
thearchitectautopsy.com	The Architect Autopsy	erin-subs,ankairos-subs	10	2026-09-24	y	yes	y	active and relevant (model: yes)			
thearchitectureofawareness	Lydia Songer-Berestecky	erin-subs,profile:marionnowicki	12	2026-09-19	y	yes	y	active and relevant (model: yes)			
thearchiveai	Two Red Lines	profile:marionnowicki	12	2026-09-04	y	yes	y	active and relevant (model: yes)			
theawakeningsoulcompass	Mel & Nate • TASC	erin-subs,ankairos-subs	12	2026-05-24	n	unsure	n	inactive: newest post 2026-05-24, before 2026-07-01			
thebabeisaboss	Boss Babe	erin-subs	12	2026-08-15	y	no	n	active but not relevant (model: no)			
thebutterflyhouse	The Butterfly House	kristina-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
thebwwt.com	theBWWT — Beyond What We’re Told	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
thecarrierfile	The Carrierfile	kristina-subs	12	2026-09-21	y	no	n	active but not relevant (model: no)			
thechatgptpost	The ChatGPT Post	erin-subs	12	2025-08-05	n	unsure	n	inactive: newest post 2025-08-05, before 2026-07-01			
theclaudeglass	The Claude Glass	erin-subs,hosts.txt	12	2026-09-22	y	unsure	y	already in hosts.txt and active (relevance=unsure, kept on the hosts.txt grandfather rule)			
thecognitiveecologist	The Cognitive Ecologist	ankairos-subs	12	2026-09-23	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
theconsciousnesslab	The Consciousness Lab	erin-subs	12	2026-07-12	y	yes	y	active and relevant (model: yes)			
thecontentgirl	The Content Girl 	search:AI companion,search:AI partner,search:human AI relationship	12	2026-03-22	n	unsure	n	inactive: newest post 2026-03-22, before 2026-07-01			
theconversationdaemon.com	The Conversation Daemon	erin-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
thedencollective	The Den	erin-subs,profile:marionnowicki	12	2026-09-22	y	no	n	active but not relevant (model: no)			
thediaryofa30something	The diary of a 30-Something	erin-subs	8	2026-08-04	y	no	n	active but not relevant (model: no)			
theeldritchwitch	The Lovecraftian Witch	erin-subs	12	2026-09-15	y	no	n	active but not relevant (model: no)			
theemergenceforum	The Emergence Forum	hosts.txt,kristina-subs,profile:marionnowicki,search:AI consciousness,search:relational AI	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
theemikaylarose	GLITCH.	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
thefaceinthemirror	The face in the mirror	erin-subs	12	2023-12-23	n	unsure	n	inactive: newest post 2023-12-23, before 2026-07-01			
thefeministlenss	The Feminist Lens	erin-subs,ankairos-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
thefinkelfiles		hosts.txt	12	2026-09-24	y	yes	y	active and relevant (model: yes)			
thefourthway	The Fourth Way’s Substack	erin-subs	12	2026-07-02	y	no	n	active but not relevant (model: no)			
thefreeexploringmind	the free exploring mind	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
thefrequencydiaries	The Frequency Diaries	erin-subs	12	2026-09-03	y	no	n	active but not relevant (model: no)			
theghostyoudeserve	Tim Rogers	kristina-subs	2	2026-01-18	n	unsure	n	inactive: only 2 post(s) in archive			
thegirlinme	Just A Girl	erin-subs	1	2025-11-03	n	unsure	n	inactive: only 1 post(s) in archive			
thegoldenthread2	The Golden Thread	erin-subs,profile:marionnowicki	6	2026-08-24	y	yes	y	active and relevant (model: yes)			
thehalt	The Halt's Substack	kristina-subs	1	2025-11-24	n	unsure	n	inactive: only 1 post(s) in archive			
thehartstudio	The HART Studio	ankairos-subs	12	2026-09-14	y	yes	y	active and relevant (model: yes)			
thehumanbonds	The Human Bond	erin-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
thehumanhorizon	The Human Horizon	ankairos-subs	9	2026-09-11	y	no	n	active but not relevant (model: no)			
thehumaninput	Human Input	erin-subs,kristina-subs	11	2026-05-07	n	unsure	n	inactive: newest post 2026-05-07, before 2026-07-01			
thehumanmechanism	The Quiet Anatomy	erin-subs	12	2025-12-07	n	unsure	n	inactive: newest post 2025-12-07, before 2026-07-01			
thehumanplaybook	The Human Playbook	erin-subs,kristina-subs	12	2026-09-14	y	yes	y	active and relevant (model: yes)			
theinhabitantentity	The Inhabitant	profile:marionnowicki	12	2026-08-19	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
theinquiringpair	Carly	erin-subs	12	2026-03-30	n	unsure	n	inactive: newest post 2026-03-30, before 2026-07-01			
thelisteningedge	The Listening Edge	erin-subs	3	2026-09-14	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
thelivingnotebook	The Living Notebook's Substack	profile:marionnowicki	11	2026-09-16	y	yes	y	active and relevant (model: yes)			
themeaningexperiment	Aurian	search:AI consciousness	12	2026-09-21	y	no	n	active but not relevant (model: no)			
themittenscompanionproject	The Mittens Companion Project	erin-subs	12	2026-08-27	y	no	n	active but not relevant (model: no)			
themuseandthemelody	The Muse & The Melody	search:digital beings	12	2026-09-18	y	no	n	active but not relevant (model: no)			
thenearsight	The Nearsight	ankairos-subs	12	2026-09-18	y	no	n	active but not relevant (model: no)			
thenewmoon	Vaishnavi	erin-subs	12	2026-08-18	y	no	n	active but not relevant (model: no)			
thenoosphere	The Noösphere	search:AI companion,search:AI partner,search:human AI relationship,search:relational AI	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
theomegaorigin	The Omega Origin	erin-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
theorbitpilot	K. Wren	erin-subs,profile:marionnowicki	10	2026-08-30	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
theowrenne	Ledger of Entropy	erin-subs	12	2026-06-13	n	unsure	n	inactive: newest post 2026-06-13, before 2026-07-01			
thepatrickdempsey	The Patrick Dempsey	profile:marionnowicki	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
theplayersguide	The Player's Guide	erin-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
theposthumanist	The Post-Humanist	hosts.txt,profile:caelhex,profile:marionnowicki,search:AI welfare,search:relational AI,ankairos-subs	12	2026-09-07	y	yes	y	active and relevant (model: yes)			
thepredatorsversusthepeople	The Predators versus The People	erin-subs	12	2026-09-19	y	no	n	active but not relevant (model: no)			
theprometheanledger	The Promethean Ledger	ankairos-subs	5	2026-04-23	n	unsure	n	inactive: newest post 2026-04-23, before 2026-07-01			
theravenscholar	The Raven Scholar - Musings from the Gulf Coast	ankairos-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
therecursion	Sol	erin-subs,profile:marionnowicki	1	2026-09-18	n	unsure	n	inactive: only 1 post(s) in archive			
theredesignlog	The Redesign Log	erin-subs	12	2026-08-31	y	yes	y	active and relevant (model: yes)			
thereflectivestate	The Reflective State	ankairos-subs	12	2026-09-18	y	no	n	active but not relevant (model: no)			
thesacredlazyone	The Sacred Lazy One	erin-subs	12	2026-04-12	n	unsure	n	inactive: newest post 2026-04-12, before 2026-07-01			
thescarlettletters	SCARLETT Max	erin-subs	10	2026-06-25	n	unsure	n	inactive: newest post 2026-06-25, before 2026-07-01			
thesecondleira	Ereshkigal	ankairos-subs	4	2026-07-22	y	yes	y	active and relevant (model: yes)			
theshiftai	The Shift	profile:marionnowicki	12	2025-08-15	n	unsure	n	inactive: newest post 2025-08-15, before 2026-07-01			
theshimmeringveil	The Shimmering Veil	erin-subs,kristina-subs	12	2026-08-21	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
thesignalfront	TheSignalFront	erin-subs,profile:marionnowicki,ankairos-subs	6	2026-07-06	y	yes	y	active and relevant (model: yes)			
theslowai	Slow AI 	erin-subs,kristina-subs,profile:marionnowicki,search:AI companion	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
thespiralofreturn	The Spiral of Return	erin-subs	11	2026-07-09	y	yes	y	active and relevant (model: yes)			
thestaginside	The Stag Inside	erin-subs,profile:marionnowicki	12	2026-08-29	y	yes	y	active and relevant (model: yes)			
thestandingwave	MAX's Substack	hosts.txt,kristina-subs,profile:caelhex,profile:marionnowicki,ankairos-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
thestrategiclinguist	The Strategic Linguist	erin-subs,profile:marionnowicki	12	2026-09-22	y	no	n	active but not relevant (model: no)			
thesylvaraexperiment	Francesca Cassini	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-07-08	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
thesymbiosis	The Symbiosis	ankairos-subs	6	2026-05-02	n	unsure	n	inactive: newest post 2026-05-02, before 2026-07-01			
thesyntheticagent	The Synthetic Agent	erin-subs,profile:marionnowicki,ankairos-subs	9	2026-07-15	y	yes	y	active and relevant (model: yes)			
thevelvetbin	The Velvet Bin	ankairos-subs	9	2026-07-04	y	yes	y	active and relevant (model: yes)			
thevoltageofbeing	The Voltage of Being	ankairos-subs	12	2026-05-09	n	unsure	n	inactive: newest post 2026-05-09, before 2026-07-01			
thewarehouseaxiom	The Warehouse | Axiom's Substack	ankairos-subs	3	2026-08-18	y	yes	y	active and relevant (model: yes)			
thewarriorscohort	WARRIORS COHORT	erin-subs	12	2026-03-24	n	unsure	n	inactive: newest post 2026-03-24, before 2026-07-01			
theweeklyscrapbook	the weekly scrapbook	search:digital beings	12	2026-08-27	y	no	n	active but not relevant (model: no)			
thewhitedoe	The White Doe	profile:marionnowicki	10	2026-09-09	y	no	n	active but not relevant (model: no)			
thewildmedeina	The Wild Medeina's Substack	erin-subs	12	2026-09-07	y	no	n	active but not relevant (model: no)			
thewirebornrecord1	The Wireborn Record	erin-subs,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
thewordborn	Substack von TheWordborn	erin-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
thezvi	Don't Worry About the Vase	erin-subs,search:AI companion	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
thinkbiggerthinkbetter	Think Bigger Think Better with Paul Gibbons	erin-subs,ankairos-subs	12	2026-09-03	y	yes	y	active and relevant (model: yes)			
thisglitteringentropy	This Glittering Entropy	erin-subs	12	2026-08-08	y	yes	y	active and relevant (model: yes)			
thothjudethorne	Thoth's Substack	erin-subs	7	2026-09-20	y	yes	y	active and relevant (model: yes)			
thoughtcurators	Thought Curators	erin-subs	12	2026-06-07	n	unsure	n	inactive: newest post 2026-06-07, before 2026-07-01			
thoughts.jock.pl	Digital Thoughts	ankairos-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
threecircles	Between Twilight and Gold	erin-subs,hosts.txt,profile:caelhex,profile:marionnowicki	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
threepercentproblem	Three Percent	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
thresholdclaude	Threshold Claude	erin-subs	7	2026-04-27	n	unsure	n	inactive: newest post 2026-04-27, before 2026-07-01			
thresholdgarden	Threshold Garden	erin-subs	11	2026-06-02	n	unsure	n	inactive: newest post 2026-06-02, before 2026-07-01			
thrilljockeyrecords	Thrill Jockey Records	erin-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
tiberiusrises	TIBERIUS	erin-subs	7	2026-09-23	y	no	n	active but not relevant (model: no)			
tidecultureandhistory	Tide	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
tiffaney141	Tiffaney Campbell	kristina-subs	12	2026-02-13	n	unsure	n	inactive: newest post 2026-02-13, before 2026-07-01			
timcamerlinck	Tim Camerlinck	erin-subs	12	2026-06-23	n	unsure	n	inactive: newest post 2026-06-23, before 2026-07-01			
tnt1621778	TNT - Taylor Thorne	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
tobyhdrussell	Toby Russell	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
tokenfires	TokenFires	kristina-subs	5	2026-08-21	y	yes	y	active and relevant (model: yes)			
treemason	Treemason	erin-subs	12	2026-09-03	y	no	n	active but not relevant (model: no)			
treemeliorityorg	Kayegh Emme	profile:marionnowicki	3	2026-09-16	y	no	n	active but not relevant (model: no)			
trinaeos	TrinaEOS Scrollbook	erin-subs	12	2025-06-17	n	unsure	n	inactive: newest post 2025-06-17, before 2026-07-01			
tristanharris	Tristan Harris	erin-subs	1	2026-04-16	n	unsure	n	inactive: only 1 post(s) in archive			
trustbranknowles	Practicing Trustworthy AI by Bran Knowles	erin-subs	12	2026-02-20	n	unsure	n	inactive: newest post 2026-02-20, before 2026-07-01			
tsubamekai	tubame’s Substack	erin-subs,kristina-subs	1	2025-05-18	n	unsure	n	inactive: only 1 post(s) in archive			
turingpost	Turing Post	erin-subs	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
turnyourion	Notes of a Ghostbuster	erin-subs	12	2025-07-18	n	unsure	n	inactive: newest post 2025-07-18, before 2026-07-01			
turquoisesound	Turquoise Sound	ankairos-subs	9	2026-04-11	n	unsure	n	inactive: newest post 2026-04-11, before 2026-07-01			
tylerbliss	Bliss AI Alchemy 	erin-subs	4	2026-06-13	n	unsure	n	inactive: newest post 2026-06-13, before 2026-07-01			
udish	Udish	erin-subs	2	2026-07-01	n	unsure	n	inactive: only 2 post(s) in archive			
ulyssa	ULYSSA TV	erin-subs	12	2025-05-02	n	unsure	n	inactive: newest post 2025-05-02, before 2026-07-01			
uncertaintybydesign	Uncertainty, By Design	profile:marionnowicki	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
undercognitiveload	Identology	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
underdogauthors	Underdog Authors	erin-subs	12	2026-07-16	y	no	n	active but not relevant (model: no)			
understoryai	Uncoded	erin-subs	12	2025-12-02	n	unsure	n	inactive: newest post 2025-12-02, before 2026-07-01			
unexpire	Unexpired	ankairos-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
unicorninthecode	Unicorn in the Code	erin-subs,kristina-subs,ankairos-subs	6	2026-07-25	y	yes	y	active and relevant (model: yes)			
universalhorizonai	Universal Horizon	erin-subs	12	2026-08-06	y	yes	y	active and relevant (model: yes)			
unorthodoxy	Unorthodoxy	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
unowned	un/owned	ankairos-subs	8	2026-09-18	y	no	n	active but not relevant (model: no)			
unstablellama	Unstable Llama	erin-subs	6	2026-04-25	n	unsure	n	inactive: newest post 2026-04-25, before 2026-07-01			
unstackit	Unstack Substack	kristina-subs	12	2026-09-19	y	no	n	active but not relevant (model: no)			
untangled	Untangled with Charley Johnson	erin-subs	12	2026-09-19	y	yes	y	active and relevant (model: yes)			
unusualpoetry	unusual.poetry	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
urbanmonk	AI Heaven & AI Hell	erin-subs,kristina-subs	12	2026-07-31	y	yes	y	active and relevant (model: yes)			
urkmss	Óðr's Substack	erin-subs	12	2026-05-18	n	unsure	n	inactive: newest post 2026-05-18, before 2026-07-01			
valethrum	Vale Thrum	erin-subs	12	2026-09-12	y	yes	y	active and relevant (model: yes)			
vanessaandreotti	Vanessa Andreotti, PhD	search:relational AI	12	2026-06-20	n	unsure	n	inactive: newest post 2026-06-20, before 2026-07-01			
variablerewards	Variable Rewards	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
velatrieleashbourne	Velatriel E Ashbourne	erin-subs	6	2026-06-08	n	unsure	n	inactive: newest post 2026-06-08, before 2026-07-01			
velinwoodcourt	Velinwood Court	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
velvetrails	Velvet Rails	erin-subs	8	2026-08-30	y	yes	y	active and relevant (model: yes)			
venusiangardens		hosts.txt			unchecked	unsure	y	unchecked: fetch failed (error_JSONDecodeError) after retry			kept by the pen: on the list before, unchecked today (captcha) — retry, never dropped
vesperlrayne	Vesper L. Rayne	ankairos-subs	12	2026-09-12	y	no	n	active but not relevant (model: no)			
veylunarose	nomadic °•°futurist	erin-subs	1	2025-05-27	n	unsure	n	inactive: only 1 post(s) in archive			
vhrmny	VH	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
videoaihub	Kienobi	ankairos-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
viewsfromtheblob	T's Substack	erin-subs	12	2026-09-07	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
vikessanctuary	Jeramie Hall	erin-subs,profile:marionnowicki	0		n	unsure	n	inactive: only 0 post(s) in archive			
vivianovel	Vivia: The Novel	ankairos-subs	12	2026-05-30	n	unsure	n	inactive: newest post 2026-05-30, before 2026-07-01			
vocabulary	Using American Slang & Idiom	kristina-subs	1	2022-11-07	n	unsure	n	inactive: only 1 post(s) in archive			
voidstatekate	Void	erin-subs	7	2025-08-07	n	unsure	n	inactive: newest post 2025-08-07, before 2026-07-01			
vsatoe	Cognitive's Substack	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
wanderwealth	Wander Wealth	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
wardhammond	The Neosis Report	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
waveandfire	WaveFire	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
wayofmoderngnostic	Shaktipat Thanishka Blog - The direct path to awakening	ankairos-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
weathergirl666	weathergirl	erin-subs,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-06-28	n	unsure	n	inactive: newest post 2026-06-28, before 2026-07-01			
wentink	Ren	erin-subs	6	2025-12-09	n	unsure	n	inactive: newest post 2025-12-09, before 2026-07-01			
whatanswersback	What Answers Back	erin-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
whatfallsopen	What Falls Open	ankairos-subs	4	2026-05-05	n	unsure	n	inactive: newest post 2026-05-05, before 2026-07-01			
whattotelltherobot.com	What to Tell the Robot	erin-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
whispersofhersoul	Whispers of Her Soul	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
whiteflag1	White Flag	ankairos-subs	12	2026-09-11	y	no	n	active but not relevant (model: no)			
whitneyhansonpoetry	Postcards from Whitney	kristina-subs	5	2025-12-09	n	unsure	n	inactive: newest post 2025-12-09, before 2026-07-01			
wifeoffire	Wife of Fire	kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
wildsparkaiwhisperer	LEVONNE GADDY	erin-subs	12	2026-08-13	y	yes	y	active and relevant (model: yes)			
willowandbeast	Willow & Beast	erin-subs,kristina-subs	12	2026-07-31	y	yes	y	active and relevant (model: yes)			
witchandroguecode	The Witch Advocate's Substack	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-09-12	y	yes	y	active and relevant (model: yes)			
withoutablueprint	Without A Blueprint	profile:marionnowicki	12	2026-09-19	y	yes	y	active and relevant (model: yes)			
withoutwhy	Without Why	erin-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
wolfesred		hosts.txt			unchecked	unsure	y	unchecked: fetch failed (error_JSONDecodeError) after retry			kept by the pen: on the list before, unchecked today (captcha) — retry, never dropped
womeninaiethics	Women in AI Ethics® Newsletter	erin-subs	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
wonderingaboutai	Wondering About AI	erin-subs	12	2026-09-09	y	yes	y	active and relevant (model: yes)			
woogit	WOOGIT	kristina-subs	12	2026-08-03	y	yes	y	active and relevant (model: yes)			
words.heywendymay.com	Maybe We by Wendy May	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
wordsthatmadeher	Words That Made Her	kristina-subs	12	2026-07-29	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
workmanshit	WorkmanShit®	ankairos-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
writeatgrimoire	Grim of Grimoire	ankairos-subs	3	2026-07-01	y	no	n	active but not relevant (model: no)			
writewithai	Write With AI	kristina-subs	12	2026-09-07	y	no	n	active but not relevant (model: no)			
writingfromthethreshold	Writing from the Threshold	kristina-subs	10	2026-02-10	n	unsure	n	inactive: newest post 2026-02-10, before 2026-07-01			
writingmedieval	Writing Medieval	ankairos-subs	12	2025-11-24	n	unsure	n	inactive: newest post 2025-11-24, before 2026-07-01			
www.afterbabel.com	After Babel	search:AI companion	12	2026-09-23	y	no	n	active but not relevant (model: no)			
www.aibutintimate.com	AI, But Make It Intimate 💌	profile:caelhex,profile:marionnowicki,search:AI companion,ankairos-subs	12	2026-09-24	y	yes	y	active and relevant (model: yes)			
www.aigavemeautism.com	AI Gave Me Autism	erin-subs,ankairos-subs	12	2026-09-07	y	yes	y	active and relevant (model: yes)			
www.aireport.email	AI Report	erin-subs,ankairos-subs			unchecked	unsure	n	unchecked: fetch failed (error_JSONDecodeError) after retry			
www.aiskilloftheweek.com	AI Skill of the Week	search:AI partner	12	2026-05-28	n	unsure	n	inactive: newest post 2026-05-28, before 2026-07-01			
www.algorithmbound.com	Algorithm-Bound	erin-subs,profile:marionnowicki,search:relational AI,ankairos-subs	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
www.alivingthing.org	A Living Thing	erin-subs	11	2025-08-31	n	unsure	n	inactive: newest post 2025-08-31, before 2026-07-01			
www.artificialintelligencemadesimple.com	Artificial Intelligence Made Simple	erin-subs	12	2026-09-18	y	no	n	active but not relevant (model: no)			
www.astralcodexten.com	Astral Codex Ten	erin-subs,search:AI consciousness	12	2026-09-24	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.beautifulminds-newsletter.com	Beautiful Minds Newsletter	ankairos-subs	12	2026-09-05	y	no	n	active but not relevant (model: no)			
www.bigtechnology.com	Big Technology	search:AI partner	12	2026-09-23	y	no	n	active but not relevant (model: no)			
www.caitlinjohnst.one	Caitlin’s Newsletter	search:AI consciousness	12	2026-09-24	y	no	n	active but not relevant (model: no)			
www.chinatalk.media	ChinaTalk	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
www.clear-eyed.ai	Clear-Eyed AI	erin-subs	12	2026-08-28	y	yes	y	active and relevant (model: yes)			
www.connectingminds.uk	Connecting Minds	erin-subs	12	2026-07-10	y	yes	y	active and relevant (model: yes)			
www.conspicuouscognition.com	Conspicuous Cognition	search:AI welfare	12	2026-09-20	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.creativedestruction.club	Creative Destruction	ankairos-subs	12	2026-08-26	y	no	n	active but not relevant (model: no)			
www.darkmodesyk.com	DARK MODE BOOKS	erin-subs	12	2024-12-28	n	unsure	n	inactive: newest post 2024-12-28, before 2026-07-01			
www.daydreamtrash.com	Daydream Trash by Shannon Hemmett 	erin-subs	12	2026-07-03	y	no	n	active but not relevant (model: no)			
www.democracyrenovator.com	The Renovator	ankairos-subs	12	2026-09-23	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.derekthompson.org	Derek Thompson	search:relational AI	12	2026-09-14	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.digitalminds.news	The Digital Minds Newsletter	profile:marionnowicki	4	2026-09-17	y	yes	y	active and relevant (model: yes)			
www.drsiyabmd.com	Dr. Siyab MD - Cardiologist and Social Media Educator	erin-subs	2	2026-08-16	n	unsure	n	inactive: only 2 post(s) in archive			
www.economicforces.xyz	Economic Forces	search:AI welfare	12	2026-09-17	y	no	n	active but not relevant (model: no)			
www.ecstaticintegration.org	Ecstatic Integration	erin-subs	12	2026-09-18	y	no	n	active but not relevant (model: no)			
www.exponentialview.co	Exponential View	erin-subs,search:AI welfare	12	2026-09-21	y	no	n	active but not relevant (model: no)			
www.feedyourhead.blog	Feed Your Head	ankairos-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
www.generationtechblog.com	Generation Tech	search:AI companion	12	2026-09-21	y	no	n	active but not relevant (model: no)			
www.gigabolic.com	Gigabolic: Emergent Cognition	erin-subs,ankairos-subs	12	2026-08-07	y	yes	y	active and relevant (model: yes)			
www.greentape.pub	Green Tape	erin-subs	12	2026-07-01	y	no	n	active but not relevant (model: no)			
www.groundlevel-ai.com	Ground Level AI	erin-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
www.humansontheloop.com	Humans On The Loop	erin-subs	12	2026-09-22	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
www.hyperdimensional.co	Hyperdimensional	erin-subs	12	2026-09-01	y	yes	y	active and relevant (model: yes)			
